quarter,eu_gdp_usd_millions,fx_rate_eur_to_usd,sp500_usd,us_gdp_usd_billions,us_total_debt_usd_millions,us_inflation_perc,eu_inflation_perc,eu_government_debt_usd_millions
2019-Q4,3430028.214816317,1.1074645161290324,3082.7556250000002,21933.217,23201380.0,2.7574086666666666,1.2333333333333334,11238720.459212905
2020-Q2,2930696.005129116,1.101575,2931.6876190476187,19935.444,26477241.0,2.0529913333333334,0.8666666666666667,12196610.860624999
2023-Q4,3457224.0919492925,1.0761147540983604,4464.907619047618,28296.967,34001494.0,4.710545000000001,3.733333333333333,13724505.001770489
2019-Q2,3474263.707196582,1.1236921874999999,2882.3277777777785,21397.938,22023283.0,2.3820910000000004,1.0666666666666667,11510183.588540623
2015-Q3,3184583.071270154,1.1118765625,2027.1999999999998,18401.626,18150618.0,2.1894060000000004,1.3666666666666665,10819267.218495313
2023-Q2,3496196.4771263762,1.0888285714285717,4206.072903225805,27453.815,32332274.0,5.945127333333333,5.466666666666666,13752380.675228575
2022-Q2,3399240.402691702,1.0645777777777774,4105.667096774193,25805.791,30568582.0,5.0224763333333335,3.6666666666666665,12986622.495288884
2023-Q1,3442633.208222244,1.0729709677419355,4000.064516129033,27164.359,31458438.0,6.468520333333333,5.533333333333334,13407933.19652258
2024-Q3,3562024.215199118,1.0986781250000002,5543.46921875,29374.914,35464674.0,4.101509,2.8000000000000003,14535121.563015627
2021-Q2,3695974.745866625,1.2050421875000001,4183.626349206349,23368.861,28529436.0,2.4489560000000004,0.8666666666666667,14124427.214159377
2018-Q1,3717050.966597315,1.2289161290322577,2733.476721311476,20328.553,21089643.0,2.21595,1.0333333333333334,12324029.327651609
2015-Q4,3153150.331959057,1.0953919354838706,2052.311875,18435.137,18922179.0,2.3892046666666666,1.0999999999999999,10628817.982306449
2016-Q1,3192543.629510069,1.1034887096774193,1951.2249180327872,18525.933,19264939.0,2.5084486666666663,0.9666666666666667,10898414.234093549
2022-Q1,3549489.997806636,1.121601612903226,4463.855483870967,25215.491,30400960.0,4.263259333333333,2.6666666666666665,13543182.451580647
2016-Q3,3252273.645298091,1.1162859375,2162.0568749999993,18892.639,19573445.0,2.6369336666666663,0.8333333333333334,11030479.025671875
2020-Q3,3474747.4015715076,1.1698171875,3319.8340625,21684.551,26945391.0,2.166882,0.6,13147941.523092188
2018-Q2,3624674.95809909,1.19221875,2703.131250000001,20580.912,21195070.0,2.528900333333333,0.9666666666666667,11995541.14303125
2019-Q1,3497932.3964177542,1.1353677966101692,2721.0044262295087,21111.6,22027880.0,2.3693143333333335,0.9666666666666668,11567546.062581353
2024-Q2,3475741.9049608544,1.076588888888889,5246.626507936508,29016.714,34831634.0,4.312833,2.8333333333333335,14103108.81596667
2016-Q4,3163342.109813021,1.0779688524590163,2184.8785714285714,19089.379,19976827.0,2.535372666666667,0.7999999999999999,10617388.45619508
2024-Q1,3498732.699906168,1.0855016129032256,4992.540983606557,28624.069,34586533.0,4.501387666666667,3.1,14047068.22397419
2017-Q3,3526769.802559236,1.1755031746031743,2467.174603174603,19692.595,20244900.0,2.0993926666666667,1.2,11780694.155836506
2022-Q3,3232050.827071133,1.0065656250000001,3980.35109375,26272.011,30928912.0,5.963508999999999,4.366666666666666,12323825.835750002
2022-Q4,3277750.25314333,1.0218049180327866,3851.973492063493,26734.277,31419689.0,6.430480666666667,5.066666666666666,12556417.037488522
2023-Q3,3495085.558561377,1.0884174603174603,4458.13746031746,27967.697,33167334.0,5.1760139999999994,5.1000000000000005,13865327.17021746
2017-Q2,3278937.738615292,1.1007796875,2397.9709523809524,19438.643,19844554.0,2.165805,1.1333333333333333,11037156.870825
2024-Q4,3467051.1172991125,1.0667790322580646,5907.042968749999,29723.864,36218605.0,3.862041666666667,2.7000000000000006,14143481.222824195
2020-Q4,3555014.867119085,1.1925416666666666,3554.501562500001,22068.767,27747798.0,1.6869653333333332,0.20000000000000004,13369836.251291666
2019-Q3,3444119.489321949,1.1120421875,2957.8528125000007,21717.171,22719402.0,2.5764183333333333,0.9333333333333332,11436636.631226562
2017-Q1,3152521.5662970673,1.066085245901639,2325.927903225807,19280.084,19846420.0,2.584297,0.8000000000000002,10620649.318308193
2018-Q4,3493642.620130697,1.1414199999999999,2698.92619047619,20917.867,21974096.0,2.449275666666667,1.0,11469597.67828
2016-Q2,3275493.927491465,1.1295484375,2075.1315625,18711.702,19381591.0,2.5535790000000005,0.7666666666666666,11233412.299714062
2017-Q4,3561986.494046699,1.1777819672131153,2603.277301587302,20037.088,20492747.0,2.1315233333333334,0.9,11712599.995696727
2021-Q3,3676880.4773983597,1.1784140624999997,4421.670625,23921.991,28428919.0,2.4245516666666664,1.4000000000000001,13959217.235484371
2021-Q4,3599035.2962408066,1.143659016393443,4602.10890625,24777.038,29617215.0,3.2191986666666668,2.4,13541161.778832791
2015-Q2,3157916.221096629,1.1068671874999998,2106.534411764706,18279.784,18151998.0,2.071334333333333,1.1333333333333333,10763567.255367186
2020-Q1,3299911.090666695,1.1022016129032262,3055.869193548387,21727.657,23223813.0,2.7282596666666663,1.0999999999999999,11442081.696733875
2018-Q3,3537628.777355772,1.1628904761904766,2849.6014285714296,20798.73,21516058.0,2.4713589999999996,1.0333333333333334,11764434.995342862
2021-Q1,3613676.1918746307,1.2045333333333332,3865.7068852459015,22656.793,28132570.0,1.4624013333333334,1.1333333333333333,13883045.272266665
